"review","sentiment"
"OK. I think the TV show is kind of cute and it always has some kind of lesson involved. So, when my kids decided they wanted to see this movie, I decided to tag along. I wish I'd stayed home and watched the TV show instead.<br /><br />The fact that the humor is silly and unoriginal is the least of the problems with this movie. The plot is next to non-existant, the characters seem to exist in a vacuum, and, worst of all, Gadget does not carry any lesson whatsoever. It appears that Disney took all of the things that make Inspector Gadget work on TV and tossed them all. To be fair, my younger child (8 years old) liked the movie but the older one (10 years old) came away thinking it silly (he was too old for the youth humor but too young for any of the adult humor).<br /><br />Generally, I like Disney films but this one misses by a mile. It is OK for a very narrow age band (say 7 to 9) but a must miss for everybody else.","0"
"Big disappointment. CLASH BY NIGHT is much to talky and stagy and the dialog doesn't resonate as true coming from these characters. This is melodrama at its peak. The acting is truly over the top and very unreal. Only MARILYN MONROE and KEITH ANDES as supporting players give this film any zip. Wish they had more to do. I'm somebody who looks at details in films. Two big questions...1 Who is watching the baby the entire day when Stanwyck and Ryan are together and Douglas is working, then breaking up a fight in a bar with is father? 2. When Stanwyck is packing to leave town, why is she seen packing at her brothers place where she hasn't lived for at least two years? Also, when everyone goes to the projection room at the Theatre, who's taking care of the baby again? Such details really irritate me and cause me to give films much lower ratings. What were the writers, directors and everyone else connected with the film thinking? Nuf' said.","0"
"Cassidy(Kacia Brady)puts a gun in her mouth blowing the back of her head out on boyfriend Neal(Jason Dibler). Cassidy was the lead singer of a ""demons and death"" rock band who couldn't shake the sad feelings of her boyfriend's neglect towards her(you know, I can find other reasonable ways to solve this other than putting a bullet through your head). She returns, however, possessing the soul of Dora(Jill Small)her friend who is to replace her on vocals so that the group can finish the album halted by Cassidy's untimely death. But, Cassidy made a deal with the dark one and souls are to be collected..she's consumed by this anger towards mainly Neal, but all the band members or anyone within the music studio get dead when they fall prey to whom they believe is a rather distraught Dora..not Cassidy returning for payback.<br /><br />Lousy micro-budget horror flick looks cheap, has a cheap cast who should make plans in another line of work, and boasts cheap kill-scenes which aren't effective one bit.","0"
"With rapid intercutting of scenes of insane people in an asylum, and montage/superimposition of images, and vague, interwoven narratives, this is a very hard movie to follow. Apparently a man (Masue Inoue) takes a job as a porter or janitor in an asylum so he can be near his imprisoned wife, and maybe to rescue her. But she's clearly mad, huddled on the floor, with a vacant expression much of the time and fear, misery, and confusion written on her face the rest of the time. The film-maker switches to her point of view sometimes, and we see vague images of her at the side of a pond drowning a baby, or clutching at a drowned child. She's tormented by something. When the point of view shifts to her or other mad folks, the filmmaker uses distorting lenses and such things, showing us what mad people see and then how they react. And the place is swarming with mad folks, laughing, hiding, and in one case dancing frenetically night and day. At one point the man tries to take his wife outside, but the night outside the door terrifies her and she runs back to her cell. Gradually the man slips into a nightmare in which he's interrupted in another attempt to steal her away, and he kills the doctor and many attendants, and all the while the mad folk laugh and applaud. When he wakes he is relieved, and mops the floor. Some fascinating shots of Japanes life, streets, buildings in the 1920s.","1"
"When ""Girlfight"" came out, the reviews praised it, but I didn't get around to seeing it. I finally saw it when it got released on video, and understand the glowing reviews.<br /><br />The movie opens in a high school in the middle of a ghetto. We quickly get introduced to student Diana Guzman (Michelle Rodriguez). She has a bad-ass expression on her face, and any idea about Diana that we might derive from this expression soon gets corroborated when she gets in a fight. As Diana gets in trouble for this, we then meet her father, an aggressive type in his own right; clearly we can't totally blame Diana for her attitude.<br /><br />But then the movie really picks up, as a new thought germinates in Diana's mind: boxing as a way to escape this grim existence. Her older brother has already gotten into boxing, but her father most likely won't approve. Only Diana herself can decide what to do.<br /><br />Just the first few minutes alone identified that I was in for a very gritty, non-Hollywood movie, but the brief appearance of John Sayles in a supporting role truly affirmed that. Even before they get to any boxing scenes, you feel like you're getting pounded in the face at seeing the ugly life that Diana lives. And when they finally arrive at the film's main story, there's no turning back.<br /><br />All in all, I definitely recommend this movie. I will admit that using boxing as a means to show someone trying to make something of himself/herself has been sort of a cliché in cinema for many years (""Rocky"", ""Million Dollar Baby""), but I still think that they did a great job with it here. In fact, this may have brought the genre to its apex. Really good. Too bad that Michelle Rodriguez wasted herself in Hollywood movies after this one.","1"
"OK, lets start with the best. the building. although hard to believe it had electricity and running water after 35 years and a fire, the gruesome walls and odd items found throughout were interesting. other than that, its not worth it.<br /><br />as far as the bad, its done by WWE films. WTF? is that supposed to make you want to see it? if anything, stay away. horrible, horrible idea for them to make movies and allow Gregory Dark to direct it. bad choice. the previews beforehand were more interesting and entertaining.<br /><br />i cant even begin to discuss how bad this film is. untalented actors & a disappointing, vague storyline. apparently many of the actors are from that show ""all saints"". its a wonder why i haven't ever heard of them or their show. other than that, the bus driver, which you never even see, just him closing the door, has had more action that just about everyone together. at least he handles stunts for some decent films.<br /><br />i like to see scary movies, i really do. but this one blew so much, the entire audience was laughing at it and cheering the characters on halfway through. very annoying. the child behind me was yelping more during the previews of other horror films.<br /><br />this is not a film to see, even less if you have to pay for it.","0"
"The British 'heritage film' industry is out of control. There's nothing wrong with filming classic novels, but why must they all be filmed by talentless nobodies? This film rips the guts out of Orwell's tough novel, turning it into a harmless, fluffy romantic comedy. 'Aspidistra' may not be Orwell's best work, but no-one who reads it can forget its superb depiction of poverty. Orwell emphasises not only the cold and the hunger, but the humiliation of being poor. In the novel, London is a bleak, grey, cold, heartless city, and Comstock prays for it to be blasted away by a squadron of bombers. But this film irons out anything that might be in any way disturbing, and creates instead a jolly nostalgic trip to charming 1930s London, in which everything is lit with shafts of golden sunlight, and even the slums of Lambeth are picturesque and filled with freshly scrubbed urchins and happy prostitutes. Comstock's poems about the sharp wind sweeping across the rubbish-strewn streets seem completely out of place in this chocolate-box world. Worst of all is the script's relentless bonhomie, ancient jokes, and clunking dialogue. It's so frustrating because Richard E. Grant is the perfect person to play Gordon Comstock, and the film is packed with great actors. But it's all for nothing. This film made me so angry! Britain's literary history is something to be proud of for its richness, complexity and power. And what do we do with it? We employ bland nobodies to turn it into soft-centred, anodyne pap for people who want to feel that they are 'getting some culture' while they drink their Horlicks and quietly doze off.","0"
"I don't even know where to begin on this one. ""It's all about the family."" That has to be the worst line of dialogue ever heard in a ""horror"" movie, although this couldn't be a horror movie even if it tried!!! Ugh!!! And I know that Owen Wilson is a better actor. He needs to stop playing the token guy who dies in every action movie (Anaconda, Armageddon). After all, the man did co-write ""Bottle Rocket"" and ""Rushmore."" He does have some talent. Also, Lily Taylor should stick to indie films. She has no place here. Finally, Catherine Zeta-Jones should become a porn star. There's no room in legitimate acting for her. I'm serious. One of the worst movies I've ever seen, EVER.","0"
"Richard Tyler is a little boy who is scared of everything. He doesn't like riding his bike or climbing on his tree house because he knows what kind of accidents might happen to him. So one day he is riding his bike and because it is starting to rain, he decides to wait in the library until it stops raining. In there the whole story takes place. He experiences all kinds of staff and in the end he is not scared any more. But the whole story is unbelievable and even good actors like Macaulay Culkin could not make the story better than it is.","0"
"I waited long to watch this movie. Also because I like Bruce Willis. The plot was quite different from what I had expected but still quite good. Its a good mix of emotions, humor and drama.<br /><br />Left me thinking over and again :)","1"
